 variables=x,y,d,u,v,T,p,txx,tyy,txy,qx,qy,tzz
  zone i=           35  j=           35
   0.0145748338   0.0145748338   1.8892841156  -0.0725289599  -0.0751574400   2.6872540508   5.0769863928   1.8501029994   1.7764554391  -0.0269026292  -0.0805438627   2.7413240813   2.0276382233
   0.0224303973   0.0145748338   1.7764554391  -0.0269026292  -0.0805438627   2.7413240813   4.8698400746   2.0276382233   1.7596165075  -0.0096741591  -0.0810872580   2.7642832254   2.1199561942
   0.0317833366   0.0145748338   1.7596165075  -0.0096741591  -0.0810872580   2.7642832254   4.8640783949   2.1199561942   1.7578960473  -0.0024605825  -0.0811901088   2.7755999545   2.1692912485
   0.0428806198   0.0145748338   1.7578960473  -0.0024605825  -0.0811901088   2.7755999545   4.8792161889   2.1692912485   1.7586579631   0.0004567743  -0.0813578497   2.7816548445   2.1952422672
   0.0559936858   0.0145748338   1.7586579631   0.0004567743  -0.0813578497   2.7816548445   4.8919794430   2.1952422672   1.7594335793   0.0015383509  -0.0815861738   2.7851264091   2.2088456753
   0.0714138602   0.0145748338   1.7594335793   0.0015383509  -0.0815861738   2.7851264091   4.9002449269   2.2088456753   1.7596434575   0.0018693165  -0.0818047544   2.7872733266   2.2158897919
   0.0894442226   0.0145748338   1.7596434575   0.0018693165  -0.0818047544   2.7872733266   4.9046072734   2.2158897919   1.7594584045   0.0018884175  -0.0819630520   2.7887007158   2.2195768514
   0.1103870411   0.0145748338   1.7594584045   0.0018884175  -0.0819630520   2.7887007158   4.9066029122   2.2195768514   1.7591329332   0.0017732688  -0.0820800665   2.7897173503   2.2216430300
   0.1345260708   0.0145748338   1.7591329332   0.0017732688  -0.0820800665   2.7897173503   4.9074836652   2.2216430300   1.7587577287   0.0016347965  -0.0821722933   2.7904841149   2.2229809758
   0.1621034798   0.0145748338   1.7587577287   0.0016347965  -0.0821722933   2.7904841149   4.9077855038   2.2229809758   1.7583719230   0.0014985882  -0.0822430219   2.7910790209   2.2239732729
   0.1932919750   0.0145748338   1.7583719230   0.0014985882  -0.0822430219   2.7910790209   4.9077549852   2.2239732729   1.7580531776   0.0013657545  -0.0823030049   2.7915412682   2.2247726196
   0.2281638789   0.0145748338   1.7580531776   0.0013657545  -0.0823030049   2.7915412682   4.9076779968   2.2247726196   1.7578383750   0.0012473941  -0.0823608767   2.7918938498   2.2254395742
   0.2666603307   0.0145748338   1.7578383750   0.0012473941  -0.0823608767   2.7918938498   4.9076981481   2.2254395742   1.7577156786   0.0011498011  -0.0824177356   2.7921518730   2.2259937787
   0.3085651711   0.0145748338   1.7577156786   0.0011498011  -0.0824177356   2.7921518730   4.9078091243   2.2259937787   1.7576669458   0.0010750118  -0.0824721874   2.7923256202   2.2264364920
