 variables=x,y,d,u,v,T,p,Ma
  zone i=           39  j=           39
        0.0025000000        0.0025000000        0.9974172696       -0.0003759716        0.0003754466        1.0000217651       32.6624087195        0.0000719204
        0.0079960748        0.0025000000        0.9973059496       -0.0007968906        0.0001161029        1.0000267360       32.6589256629        0.0001090045
        0.0145748338        0.0025000000        0.9972198623       -0.0011225626        0.0000607110        1.0000315728       32.6562644961        0.0001521697
        0.0224303973        0.0025000000        0.9971339021       -0.0014397626        0.0000568493        1.0000382004       32.6536659410        0.0001950344
        0.0317833366        0.0025000000        0.9970496483       -0.0018291975        0.0000642389        1.0000488474       32.6512544583        0.0002477468
        0.0428806198        0.0025000000        0.9969425041       -0.0023010793        0.0000830063        1.0000587322       32.6480684129        0.0003116675
        0.0559936858        0.0025000000        0.9968189523       -0.0029693179        0.0001008148        1.0000707356       32.6444141333        0.0004021442
        0.0714138602        0.0025000000        0.9966674792       -0.0038443699        0.0001218113        1.0000814743       32.6398040821        0.0005206139
        0.0894442226        0.0025000000        0.9965063348       -0.0050523465        0.0001371042        1.0000948692       32.6349638742        0.0006841049
        0.1103870411        0.0025000000        0.9963414459       -0.0066228436        0.0001577918        1.0001071600       32.6299648684        0.0008966745
        0.1345260708        0.0025000000        0.9962192812       -0.0086477734        0.0001751134        1.0001237112       32.6265039424        0.0011707302
        0.1621034798        0.0025000000        0.9961540710       -0.0110932935        0.0001885745        1.0001416564       32.6249536665        0.0015016988
        0.1932919750        0.0025000000        0.9961936021       -0.0139764818        0.0001950484        1.0001612434       32.6268873042        0.0018918883
        0.2281638789        0.0025000000        0.9963504806       -0.0172279737        0.0001920023        1.0001784820       32.6325877612        0.0023319152
        0.2666603307        0.0025000000        0.9966902665       -0.0207251255        0.0001787715        1.0001956722       32.6442775200        0.0028051829
        0.3085651711        0.0025000000        0.9972178330       -0.0242121224        0.0001617959        1.0002115686       32.6620758350        0.0032770794
        0.3534889397        0.0025000000        0.9979613240       -0.0275190246        0.0001357392        1.0002263293       32.6869099184        0.0037245990
        0.4008682421        0.0025000000        0.9989395087       -0.0302536188        0.0000999692        1.0002367343       32.7192894354        0.0040946676
        0.4499841204        0.0025000000        1.0001062654       -0.0321964574        0.0000572463        1.0002434006       32.7577237320        0.0043575891
        0.5000000000        0.0025000000        1.0014471000       -0.0329429484        0.0000024092        1.0002453290       32.8017049922        0.0044586106
        0.5500158796        0.0025000000        1.0027991624       -0.0322833281       -0.0000545653        1.0002436806       32.8459367317        0.0043693452
        0.5991317579        0.0025000000        1.0039900749       -0.0304003688       -0.0000973101        1.0002431884       32.8849279956        0.0041145147
        0.6465110603        0.0025000000        1.0050109514       -0.0277033691       -0.0001352763        1.0002378042       32.9181888295        0.0037495269
        0.6914348289        0.0025000000        1.0057979380       -0.0243985557       -0.0001617962        1.0002352972       32.9438832641        0.0033022726
